Address;Code;Parameter Name;Factory defoult;Default;Unit;Max;Min;Changeable;ReadOnly;IC5
0;;Inverter model;;;;;;;1;1
1;;Inverter capacity;;;;;;;1;1
2;;Inverter input power;;;;;;;1;1
3;;S/W Version;;;;;;;1;1
4;;Parameter Read/Write enable;;;;;;;0;1
5;;Frequency Reference;;;Hz;;;;0;1
6;;Operatin command;;;;;;;0;1
7;;Accel time;;;s;;;;0;1
8;;Decel time;;;s;;;;0;1
9;;Output current;;;A;;;;1;1
10;;Output frequency;;;Hz;;;;1;1
11;;Output voltage;;;V;;;;1;1
12;;DC Link Voltage;;;V;;;;1;1
13;;Output power;;;kW;;;;1;1
14;;Status of Inverter;;;;;;;1;1
15;;Trip information;;;;;;;1;1
16;;Input terminal information;;;;;;;1;1
17;;output terminal information;;;;;;;1;1
18;;I;;;;;;;1;1
19;;V2;;;;;;;1;1
20;;I;;;;;;;1;1
21;;RPM;;;;;;;1;1
