Address;Code;Parameter Name;Factory defoult;Default;Unit;Max;Min;Changeable;ReadOnly;IC5
33024;D00;Cmd. freq;0;0.00;Hz;maxFreq;0;1;;1
33025;D01;ACC;50;5.0;sec;60000;0;1;;1
33026;D02;DEC;100;10.0;sec;60000;0;1;;1
33027;D03;DRV;1;CMD_KPD;;3;0;0;;1
33028;D04;FRQ;0;FREQ_DIG1;;8;0;0;;1
33029;D05;ST 1;1000;10.00;Hz;maxFreq;0;1;;1
33030;D06;ST 2;2000;20.00;Hz;maxFreq;0;1;;1
33031;D07;ST 3;3000;30.00;Hz;maxFreq;0;1;;1
33032;D08;CUR;0;0;;1;0;;1;0
33033;D09;RPM;0;0.00;;1800;0;;1;1
33034;D10;DCL;0;0.00;;65535;0;;1;1
33035;D11;USR;0;0.00;;1;0;;1;1
33036;D12;FLT;0;No;;1;0;;1;1
33037;D13;DRC;0;Forward;;1;0;1;;1
